,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Length
microsoft/DialoGPT-medium,0.0,0.3012460156476383,0.1130065701494273,0.2591171641070221,16.6
Pi3141/DialoGPT-medium-elon-2,0.0,0.25765980646040615,0.08677248677248678,0.22281132161192133,17.0
0xDEADBEA7/DialoGPT-small-rick,0.0,0.2966548058053525,0.09861619861619862,0.23304004658083718,13.0
satvikag/chatbot,0.0,0.29731199759597327,0.10762670565302143,0.24591766208399068,14.0
microsoft/DialoGPT-large,0.0,0.351647509578544,0.13293121693121696,0.29386973180076625,11.6
