Unnamed: 0,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Response Length,Topsis Score,Rank
microsoft/DialoGPT-medium,0.0,0.3327002746357585,0.1277586206896551,0.2834334124656705,7.6,0.1829114462413305,4.5
Pi3141/DialoGPT-medium-elon-2,0.0,0.3110783410138248,0.1212025566164286,0.2661751152073732,8.8,0.650662685146205,3.0
0xDEADBEA7/DialoGPT-small-rick,0.0,0.3327002746357585,0.1277586206896551,0.2834334124656705,7.6,0.1829114462413305,4.5
satvikag/chatbot,0.0,0.3050444056005791,0.12257343550447,0.2635332615310368,9.4,0.8518639320800013,1.0
microsoft/DialoGPT-large,0.0,0.3099730019084857,0.1210919540229884,0.266387957920216,9.0,0.7201684071858098,2.0
